from,to,relationship,year
bs,ErstUnters,2,2017
ft,DrUnters,2,2017
co,SEFEP,3,2017
rss,ALUni,7,1983
ft,AERat,2,2017
co,AJC,3,2013
bs,AI,3,2011
ft,ASS,4,2018
tl,OttoeV,3,2013
rss,ASFKW,2,1999
fb,Asy,3,2017
co,AtleV,3,2017
ck,AusBau,2,2017
jb,AusBil,2,2017
fb,AusAn,2,2013
fb,AusFam,2,2013
jb,AusFam,2,2017
ft,AusIn,2,2017
bs,AusIn,2,2017
ck,AusKul,2,2013
ck,AusR,2,2017
ck,AusUm,2,2013
co,AusV,2,2018
ck,AusV,2,2013
ft,AusW,2,2017
fb,AusAus,2,2013
tl,AusAmt,1,2021
fb,AvaneV,3,2013
co,AveV,3,2013
fb,Bert,6,
tl,BAImmo,2,2017
bs,BMF,1,2021
ft,BMJ,1,2021
jb,BMBF,1,2021
co,BMEL,1,2021
rss,BMUNSV,1,2013
ck,BMUNSV,1,2021
fb,BMWK,1,2021
ck,BSB,3,2017
jb,BSMag,3,2018
fb,BSMutti,4,2017
ck,Winne,6,
co,BVMW,3,2013
ft,CAM,7,2002
fb,CUni,7,2004
co,Prog,3,2017
fb,DFEly,2,2017
fb,DFPV,2,2017
fb,DFI,3,2017
tl,DGPol,3,2017
tl,DKP,2,2013
co,DTF,3,2013
jb,DAS,3,2019
rss,DBU,3,
tl,Konrad,3,2013
ck,DEeV,3,2017
jb,DSeV,3,2017
co,DSI,3,2017
mat,DHBW,3,2004
ft,EKUni,7,2012
ck,EKUni,7,2009
jb,BB,2,2017
fb,EUBeV,3,2017
fb,EUP,2,2009
co,EUP,2,2004
mat,EUP,2,2009
fb,ECFR,3,2017
fb,EPC,3,2017
rss,EUROeV,3,
co,FHR,7,1994
co,FCPlay,3,2017
ft,FDPBW,2,2011
ft,FDPS,2,2003
mat,FDPBT,2,2017
mat,FDPBV,2,2003
bs,FDPDVP,2,2014
mat,FDPDVP,2,2006
ft,AusF ,2,2017
ft,FMG,2,2005
ft,Fresh,6,2014
ft,Fried,5,2001
fb,Friends,3,2017
mat,GemH,6,1995
rss,GemL,2,1999
ft,GemAus,2,2017
co,Marsh,3,2003
rss,GRS,4,
ft,GSeV,3,
co,GSeV,3,2017
co,GrBW,2,1998
fb,GrJ,2,1997
fb,GrJBW,2,1996
tl,KonAusH,2,2013
mat,KonAusH,2,2011
ft,AusH,2,2009
ck,AusH,2,2017
co,HSeV,3,2017
fb,HAeV,3,2017
fb,InstP,7,2004
fb,InstEUP,3,2017
co,InstM,4,2017
co,InstF,4,2017
co,IntPr,3,
fb,Jac,4,2017
jb,JLBW,2,2010
ft,JLBW,2,2003
rss,Karin,6,1992
tl,KIT,6,2007
ck,KoalBW,2,2011
ft,KfW,3,2019
rss,KfW,3,
ft,KLB,2,2009
rss,KLW,2,2004
tl,KVG,2,2002
ck,KVGr,2,2002
ft,LFAFDP,2,2011
ck,LvGrSw,2,2009
ck,LvGrBW,2,2007
tl,LvGrRLP,2,1999
bs,LvJLBW,2,2010
rss,LvSPD,2,2007
mat,LvFDP,2,1991
bs,LvFDP,2,2013
bs,LGS,7,2012
mat,LTBW,2,2001
tl,NATO,2,2017
fb,Covid,2,2017
ck,ProR,3,2017
tl,RPAus,2,2013
rss,RegHB,2,2005
mat,RMS,3,2004
tl,RlpGr,2,2011
ft,RWAus,2,2020
mat,SB,6,1990
rss,SPDKW,2,2001
fb,ACol,6,2006
tl,SrWoe,2,2004
co,start,3,2017
co,StG,3,2017
co,StNeV,3,2013
ft,StVeV,3,
co,StB,3,2017
ck,swr,4,2013
jb,BCG,6,
co,THS,3,2013
mat,THS,3,2004
co,TDeV,3,2013
fb,TWEUeV,3,2017
fb,TWSeV,3,2017
co,UB,6,2017
fb,UNC,2,2000
fb,UND,2,
ft,UniH,7,2003
tl,UniKarls,7,2002
bs,UniK ,7,2006
fb,UniMa,7,2010
jb,UniMa,7,2005
ft,UniR,7,2000
rss,UniZ,7,1983
fb,UAusZ,2,2013
jb,VpHeV,3,2017
ck,VWeV,3,2017
fb,VDFG,3,2017
ft,VmAus,2,2017
tl,VAus,2,2013
tl,vertr,2,2017
ft,WAus,2,2017
co,WWLeV,3,
tl,WsAus,2,2012
rss,WsF,3,
mat,WDS,3,2004
jb,YECeV,3,2017
co,zdf,4,2013
fb,Zentr,4,2017
bs,ZeV,3,2018
