id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,1,1,3,,1,3,1,1,1
ft,Toncar,Florian Toncar,0,2,1979,1,1,2,2,2,3,2,1,1,1
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,1,4,3,1,1,2,2,1,1,
tl,Lindner,Tobias Lindner,0,2,1982,2,1,3,3,,0,3,1,1,
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,2,1,0,2,1,1,2
co,Oezdemir,Cem Oezdemir,0,2,1965,3,2,5,3,3,2,5,5,5,
mat,Theurer,Michael A. Theurer,0,2,1967,1,2,4,2,2,2,2,1,4,
ck,Kuehn,Chris Kuehn,0,2,1979,1,5,1,3,2,3,1,1,1,1
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,1,1,2,,0,2,1,,
ErstUnters,,1. Untersuchungsausschuss,1,,,,,,,,,,,,
DrUnters,,3. Untersuchungsausschuss,1,,,,,,,,,,,,
SEFEP,,Agora Verkehrswende Smart Energy for Europe Plattform (SEFEP) gemeinnuetzige GmbH,1,,,,,,,,,,,,
ALUni,,Albert-Ludwigs-Universitaet Freiburg,1,,,,,,,,,,,,
AERat,,Aeltestenrat,1,,,,,,,,,,,,
AJC,,American Jewish Committee e.V. (AJC),1,,,,,,,,,,,,
AI,,Amnesty International,1,,,,,,,,,,,,
ASS,,AnwaltService Stuttgart GmbH,1,,,,,,,,,,,,
OttoeV,,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
ASFKW,,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
Asy,,Asylos,1,,,,,,,,,,,,
AtleV,,Atlantische Initiative e.V.,1,,,,,,,,,,,,
AusBau,,"Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
AusBil,,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschätzung",1,,,,,,,,,,,,
AusAn,,Ausschuss fuer die Angelegenheiten der Europaeischen Union,1,,,,,,,,,,,,
AusFam,,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
AusIn,,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
AusKul,,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
AusR,,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
AusUm,,"Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
AusV,,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
AusW,,"Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung",1,,,,,,,,,,,,
AusAus,,Auswaertiger Ausschuss,1,,,,,,,,,,,,
AusAmt,,Auswaertiges Amt,1,,,,,,,,,,,,
AvaneV,,Avanti Europe e.V.,1,,,,,,,,,,,,
AveV,,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
Bert,,Bertelsmann Stiftung,1,,,,,,,,,,,,
BAImmo,,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
BMF,,Bundesministerium der Finanzen,1,,,,,,,,,,,,
BMJ,,Bundesministerium der Justiz,1,,,,,,,,,,,,
BMBF,,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
BMEL,,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
BMUNSV,,"Bundesministerium fuer Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1,,,,,,,,,,,,
BMWK,,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
BSB,,Bundesstiftung Baukultur,1,,,,,,,,,,,,
BSMag,,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
BSMutti,,Bundesstiftung Mutter und Kind Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
Winne,,Bundestagsabgeordnete Winne Hermann,1,,,,,,,,,,,,
BVMW,,Bundesverband mittelstaendische Wirtschaft e.V. (BVMW),1,,,,,,,,,,,,
CAM,,Cambridge University,1,,,,,,,,,,,,
CUni,,Columbia University,1,,,,,,,,,,,,
Prog,,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
DFEly,,Deutsch-franzoesische Arbeitsgruppe zum Eysee-Vertrag,1,,,,,,,,,,,,
